name,label,description,p3,water_system_type,depth_of_borehole,number_of_users
138573684,Water system 27 – Protected open well,Protected open well with hand pump,BF130003,protected_open_well,,
138573685,Water system 28 – Borehole with hand pump,Borehole with hand pump serving the community,BF130003,borehole_hand_pump,,
138573686,Water system 29 – Solar-powered water system,Solar-powered water system with piped distribution,BF130002,solar_powered_water_system,,
138573687,Water system 30 – Motorized piped network,Motorized piped network with multiple tap stands,BF130003,motorized_piped_network,,
138573688,Water system 31 – SWAT system,Surface water abstraction and treatment system,BF130005,swat_system,,
138573689,Water system 32 – Spring protection,Protected spring with gravity-fed distribution,BF130004,spring_protection,,
138573690,Water system 33 – Water trucking,Water trucking operation,BF130004,water_trucking,,
138573691,Water system 34 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130005,temporary_pumping_system,,
138573692,Water system 35 – Point-of-use water treatment,Point-of-use water treatment programme,BF130001,point_of_use_water_treatment,,
138573693,Water system 36 – Protected open well,Protected open well with hand pump,BF130003,protected_open_well,,
138573694,Water system 37 – Borehole with hand pump,Borehole with hand pump serving the community,BF130004,borehole_hand_pump,,
138573695,Water system 38 – Solar-powered water system,Solar-powered water system with piped distribution,BF130004,solar_powered_water_system,,
138573696,Water system 39 – Motorized piped network,Motorized piped network with multiple tap stands,BF130002,motorized_piped_network,,
138573697,Water system 40 – SWAT system,Surface water abstraction and treatment system,BF130003,swat_system,,
138573698,Water system 41 – Spring protection,Protected spring with gravity-fed distribution,BF130003,spring_protection,,
138573699,Water system 42 – Water trucking,Water trucking operation,BF130001,water_trucking,,
138573700,Water system 43 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130001,temporary_pumping_system,,
138573701,Water system 44 – Point-of-use water treatment,Point-of-use water treatment programme,BF130003,point_of_use_water_treatment,,
138573702,Water system 45 – Protected open well,Protected open well with hand pump,BF130005,protected_open_well,,
138573703,Water system 46 – Borehole with hand pump,Borehole with hand pump serving the community,BF130005,borehole_hand_pump,,
138573704,Water system 47 – Solar-powered water system,Solar-powered water system with piped distribution,BF130001,solar_powered_water_system,,
138573705,Water system 48 – Motorized piped network,Motorized piped network with multiple tap stands,BF130002,motorized_piped_network,,
138573706,Water system 49 – SWAT system,Surface water abstraction and treatment system,BF130004,swat_system,,
138573707,Water system 50 – Spring protection,Protected spring with gravity-fed distribution,BF130001,spring_protection,,
138573708,Water system 51 – Water trucking,Water trucking operation,BF130002,water_trucking,,
138573709,Water system 52 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130001,temporary_pumping_system,,
138573710,Water system 53 – Point-of-use water treatment,Point-of-use water treatment programme,BF130001,point_of_use_water_treatment,,
138573711,Water system 54 – Protected open well,Protected open well with hand pump,BF130002,protected_open_well,,
138573712,Water system 55 – Borehole with hand pump,Borehole with hand pump serving the community,BF130004,borehole_hand_pump,,
138573713,Water system 56 – Solar-powered water system,Solar-powered water system with piped distribution,BF130002,solar_powered_water_system,,
138573714,Water system 57 – Motorized piped network,Motorized piped network with multiple tap stands,BF130005,motorized_piped_network,,
138573715,Water system 58 – SWAT system,Surface water abstraction and treatment system,BF130002,swat_system,,
138573716,Water system 59 – Spring protection,Protected spring with gravity-fed distribution,BF130002,spring_protection,,
138573717,Water system 60 – Water trucking,Water trucking operation,BF130005,water_trucking,,
138573718,Water system 61 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130004,temporary_pumping_system,,
138573719,Water system 62 – Point-of-use water treatment,Point-of-use water treatment programme,BF130001,point_of_use_water_treatment,,
138573720,Water system 63 – Protected open well,Protected open well with hand pump,BF130005,protected_open_well,,
138573721,Water system 64 – Borehole with hand pump,Borehole with hand pump serving the community,BF130003,borehole_hand_pump,,
138573722,Water system 65 – Solar-powered water system,Solar-powered water system with piped distribution,BF130003,solar_powered_water_system,,
138573723,Water system 66 – Motorized piped network,Motorized piped network with multiple tap stands,BF130004,motorized_piped_network,,
138573724,Water system 67 – SWAT system,Surface water abstraction and treatment system,BF130004,swat_system,,
138573725,Water system 68 – Spring protection,Protected spring with gravity-fed distribution,BF130004,spring_protection,,
138573726,Water system 69 – Water trucking,Water trucking operation,BF130004,water_trucking,,
138573727,Water system 70 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130001,temporary_pumping_system,,
138573728,Water system 71 – Point-of-use water treatment,Point-of-use water treatment programme,BF130004,point_of_use_water_treatment,,
138573729,Water system 72 – Protected open well,Protected open well with hand pump,BF130002,protected_open_well,,
138573730,Water system 73 – Borehole with hand pump,Borehole with hand pump serving the community,BF130003,borehole_hand_pump,,
138573731,Water system 74 – Solar-powered water system,Solar-powered water system with piped distribution,BF130005,solar_powered_water_system,,
138573732,Water system 75 – Motorized piped network,Motorized piped network with multiple tap stands,BF130003,motorized_piped_network,,
138573733,Water system 76 – SWAT system,Surface water abstraction and treatment system,BF130005,swat_system,,
138573734,Water system 77 – Spring protection,Protected spring with gravity-fed distribution,BF130005,spring_protection,,
138573735,Water system 78 – Water trucking,Water trucking operation,BF130004,water_trucking,,
138573736,Water system 79 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130004,temporary_pumping_system,,
138573737,Water system 80 – Point-of-use water treatment,Point-of-use water treatment programme,BF130001,point_of_use_water_treatment,,
138573738,Water system 81 – Protected open well,Protected open well with hand pump,BF130003,protected_open_well,,
138573739,Water system 82 – Borehole with hand pump,Borehole with hand pump serving the community,BF130001,borehole_hand_pump,,
138573740,Water system 83 – Solar-powered water system,Solar-powered water system with piped distribution,BF130005,solar_powered_water_system,,
138573741,Water system 84 – Motorized piped network,Motorized piped network with multiple tap stands,BF130003,motorized_piped_network,,
138573742,Water system 85 – SWAT system,Surface water abstraction and treatment system,BF130004,swat_system,,
138573743,Water system 86 – Spring protection,Protected spring with gravity-fed distribution,BF130001,spring_protection,,
138573744,Water system 87 – Water trucking,Water trucking operation,BF130002,water_trucking,,
138573745,Water system 88 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130005,temporary_pumping_system,,
138573746,Water system 89 – Point-of-use water treatment,Point-of-use water treatment programme,BF130004,point_of_use_water_treatment,,
138573747,Water system 90 – Protected open well,Protected open well with hand pump,BF130004,protected_open_well,,
138573748,Water system 91 – Borehole with hand pump,Borehole with hand pump serving the community,BF130002,borehole_hand_pump,,
138573749,Water system 92 – Solar-powered water system,Solar-powered water system with piped distribution,BF130004,solar_powered_water_system,,
138573750,Water system 93 – Motorized piped network,Motorized piped network with multiple tap stands,BF130002,motorized_piped_network,,
138573751,Water system 94 – SWAT system,Surface water abstraction and treatment system,BF130003,swat_system,,
138573752,Water system 95 – Spring protection,Protected spring with gravity-fed distribution,BF130001,spring_protection,,
138573753,Water system 96 – Water trucking,Water trucking operation,BF130002,water_trucking,,
138573754,Water system 97 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130004,temporary_pumping_system,,
138573755,Water system 98 – Point-of-use water treatment,Point-of-use water treatment programme,BF130001,point_of_use_water_treatment,,
138573756,Water system 99 – Protected open well,Protected open well with hand pump,BF130003,protected_open_well,,
138573757,Water system 100 – Borehole with hand pump,Borehole with hand pump serving the community,BF130004,borehole_hand_pump,,
138573758,Water system 101 – Solar-powered water system,Solar-powered water system with piped distribution,BF130002,solar_powered_water_system,,
138573759,Water system 102 – Motorized piped network,Motorized piped network with multiple tap stands,BF130002,motorized_piped_network,,
138573760,Water system 103 – SWAT system,Surface water abstraction and treatment system,BF130001,swat_system,,
138573761,Water system 104 – Spring protection,Protected spring with gravity-fed distribution,BF130001,spring_protection,,
138573762,Water system 105 – Water trucking,Water trucking operation,BF130003,water_trucking,,
138573763,Water system 106 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130002,temporary_pumping_system,,
138573764,Water system 107 – Point-of-use water treatment,Point-of-use water treatment programme,BF130003,point_of_use_water_treatment,,
138573765,Water system 108 – Protected open well,Protected open well with hand pump,BF130005,protected_open_well,,
138573766,Water system 109 – Borehole with hand pump,Borehole with hand pump serving the community,BF130005,borehole_hand_pump,,
138573767,Water system 110 – Solar-powered water system,Solar-powered water system with piped distribution,BF130002,solar_powered_water_system,,
138573768,Water system 111 – Motorized piped network,Motorized piped network with multiple tap stands,BF130004,motorized_piped_network,,
138573769,Water system 112 – SWAT system,Surface water abstraction and treatment system,BF130002,swat_system,,
138573770,Water system 113 – Spring protection,Protected spring with gravity-fed distribution,BF130002,spring_protection,,
138573771,Water system 114 – Water trucking,Water trucking operation,BF130003,water_trucking,,
138573772,Water system 115 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130003,temporary_pumping_system,,
138573773,Water system 116 – Point-of-use water treatment,Point-of-use water treatment programme,BF130002,point_of_use_water_treatment,,
138573774,Water system 117 – Protected open well,Protected open well with hand pump,BF130001,protected_open_well,,
138573775,Water system 118 – Borehole with hand pump,Borehole with hand pump serving the community,BF130003,borehole_hand_pump,,
138573776,Water system 119 – Solar-powered water system,Solar-powered water system with piped distribution,BF130005,solar_powered_water_system,,
138573777,Water system 120 – Motorized piped network,Motorized piped network with multiple tap stands,BF130001,motorized_piped_network,,
138573778,Water system 121 – SWAT system,Surface water abstraction and treatment system,BF130004,swat_system,,
138573779,Water system 122 – Spring protection,Protected spring with gravity-fed distribution,BF130001,spring_protection,,
138573780,Water system 123 – Water trucking,Water trucking operation,BF130001,water_trucking,,
138573781,Water system 124 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130001,temporary_pumping_system,,
138573782,Water system 125 – Point-of-use water treatment,Point-of-use water treatment programme,BF130002,point_of_use_water_treatment,,
138573783,Water system 126 – Protected open well,Protected open well with hand pump,BF130001,protected_open_well,,
138573784,Water system 127 – Borehole with hand pump,Borehole with hand pump serving the community,BF130001,borehole_hand_pump,,
138573785,Water system 128 – Solar-powered water system,Solar-powered water system with piped distribution,BF130005,solar_powered_water_system,,
138573786,Water system 129 – Motorized piped network,Motorized piped network with multiple tap stands,BF130003,motorized_piped_network,,
138573787,Water system 130 – SWAT system,Surface water abstraction and treatment system,BF130003,swat_system,,
138573788,Water system 131 – Spring protection,Protected spring with gravity-fed distribution,BF130003,spring_protection,,
138573789,Water system 132 – Water trucking,Water trucking operation,BF130003,water_trucking,,
138573790,Water system 133 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130005,temporary_pumping_system,,
138573791,Water system 134 – Point-of-use water treatment,Point-of-use water treatment programme,BF130002,point_of_use_water_treatment,,
138573792,Water system 135 – Protected open well,Protected open well with hand pump,BF130003,protected_open_well,,
138573793,Water system 136 – Borehole with hand pump,Borehole with hand pump serving the community,BF130003,borehole_hand_pump,,
138573794,Water system 137 – Solar-powered water system,Solar-powered water system with piped distribution,BF130004,solar_powered_water_system,,
138573795,Water system 138 – Motorized piped network,Motorized piped network with multiple tap stands,BF130003,motorized_piped_network,,
138573796,Water system 139 – SWAT system,Surface water abstraction and treatment system,BF130002,swat_system,,
138573797,Water system 140 – Spring protection,Protected spring with gravity-fed distribution,BF130002,spring_protection,,
138573798,Water system 141 – Water trucking,Water trucking operation,BF130003,water_trucking,,
138573799,Water system 142 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130001,temporary_pumping_system,,
138573800,Water system 143 – Point-of-use water treatment,Point-of-use water treatment programme,BF130002,point_of_use_water_treatment,,
138573801,Water system 144 – Protected open well,Protected open well with hand pump,BF130005,protected_open_well,,
138573802,Water system 145 – Borehole with hand pump,Borehole with hand pump serving the community,BF130005,borehole_hand_pump,,
138573803,Water system 146 – Solar-powered water system,Solar-powered water system with piped distribution,BF130001,solar_powered_water_system,,
138573804,Water system 147 – Motorized piped network,Motorized piped network with multiple tap stands,BF130002,motorized_piped_network,,
138573805,Water system 148 – SWAT system,Surface water abstraction and treatment system,BF130001,swat_system,,
138573806,Water system 149 – Spring protection,Protected spring with gravity-fed distribution,BF130003,spring_protection,,
138573807,Water system 150 – Water trucking,Water trucking operation,BF130002,water_trucking,,
138573808,Water system 151 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130001,temporary_pumping_system,,
138573809,Water system 152 – Point-of-use water treatment,Point-of-use water treatment programme,BF130002,point_of_use_water_treatment,,
138573810,Water system 153 – Protected open well,Protected open well with hand pump,BF130003,protected_open_well,,
138573811,Water system 154 – Borehole with hand pump,Borehole with hand pump serving the community,BF130005,borehole_hand_pump,,
138573812,Water system 155 – Solar-powered water system,Solar-powered water system with piped distribution,BF130003,solar_powered_water_system,,
138573813,Water system 156 – Motorized piped network,Motorized piped network with multiple tap stands,BF130004,motorized_piped_network,,
138573814,Water system 157 – SWAT system,Surface water abstraction and treatment system,BF130002,swat_system,,
138573815,Water system 158 – Spring protection,Protected spring with gravity-fed distribution,BF130001,spring_protection,,
138573816,Water system 159 – Water trucking,Water trucking operation,BF130002,water_trucking,,
138573817,Water system 160 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130003,temporary_pumping_system,,
138573818,Water system 161 – Point-of-use water treatment,Point-of-use water treatment programme,BF130002,point_of_use_water_treatment,,
138573819,Water system 162 – Protected open well,Protected open well with hand pump,BF130003,protected_open_well,,
138573820,Water system 163 – Borehole with hand pump,Borehole with hand pump serving the community,BF130004,borehole_hand_pump,,
138573821,Water system 164 – Solar-powered water system,Solar-powered water system with piped distribution,BF130001,solar_powered_water_system,,
138573822,Water system 165 – Motorized piped network,Motorized piped network with multiple tap stands,BF130004,motorized_piped_network,,
138573823,Water system 166 – SWAT system,Surface water abstraction and treatment system,BF130004,swat_system,,
138573824,Water system 167 – Spring protection,Protected spring with gravity-fed distribution,BF130002,spring_protection,,
138573825,Water system 168 – Water trucking,Water trucking operation,BF130004,water_trucking,,
138573826,Water system 169 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130005,temporary_pumping_system,,
138573827,Water system 170 – Point-of-use water treatment,Point-of-use water treatment programme,BF130003,point_of_use_water_treatment,,
138573828,Water system 171 – Protected open well,Protected open well with hand pump,BF130001,protected_open_well,,
138573829,Water system 172 – Borehole with hand pump,Borehole with hand pump serving the community,BF130003,borehole_hand_pump,,
138573830,Water system 173 – Solar-powered water system,Solar-powered water system with piped distribution,BF130002,solar_powered_water_system,,
138573831,Water system 174 – Motorized piped network,Motorized piped network with multiple tap stands,BF130002,motorized_piped_network,,
138573832,Water system 175 – SWAT system,Surface water abstraction and treatment system,BF130003,swat_system,,
138573833,Water system 176 – Spring protection,Protected spring with gravity-fed distribution,BF130005,spring_protection,,
138573834,Water system 177 – Water trucking,Water trucking operation,BF130003,water_trucking,,
138573835,Water system 178 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130004,temporary_pumping_system,,
138573836,Water system 179 – Point-of-use water treatment,Point-of-use water treatment programme,BF130002,point_of_use_water_treatment,,
138573837,Water system 180 – Protected open well,Protected open well with hand pump,BF130004,protected_open_well,,
138573838,Water system 181 – Borehole with hand pump,Borehole with hand pump serving the community,BF130003,borehole_hand_pump,,
138573839,Water system 182 – Solar-powered water system,Solar-powered water system with piped distribution,BF130004,solar_powered_water_system,,
138573840,Water system 183 – Motorized piped network,Motorized piped network with multiple tap stands,BF130001,motorized_piped_network,,
138573841,Water system 184 – SWAT system,Surface water abstraction and treatment system,BF130002,swat_system,,
138573842,Water system 185 – Spring protection,Protected spring with gravity-fed distribution,BF130002,spring_protection,,
138573843,Water system 186 – Water trucking,Water trucking operation,BF130002,water_trucking,,
138573844,Water system 187 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130004,temporary_pumping_system,,
138573845,Water system 188 – Point-of-use water treatment,Point-of-use water treatment programme,BF130004,point_of_use_water_treatment,,
138573846,Water system 189 – Protected open well,Protected open well with hand pump,BF130004,protected_open_well,,
138573847,Water system 190 – Borehole with hand pump,Borehole with hand pump serving the community,BF130002,borehole_hand_pump,,
138573848,Water system 191 – Solar-powered water system,Solar-powered water system with piped distribution,BF130004,solar_powered_water_system,,
138573849,Water system 192 – Motorized piped network,Motorized piped network with multiple tap stands,BF130004,motorized_piped_network,,
138573850,Water system 193 – SWAT system,Surface water abstraction and treatment system,BF130005,swat_system,,
138573851,Water system 194 – Spring protection,Protected spring with gravity-fed distribution,BF130002,spring_protection,,
138573852,Water system 195 – Water trucking,Water trucking operation,BF130001,water_trucking,,
138573853,Water system 196 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130003,temporary_pumping_system,,
138573854,Water system 197 – Point-of-use water treatment,Point-of-use water treatment programme,BF130002,point_of_use_water_treatment,,
138573855,Water system 198 – Protected open well,Protected open well with hand pump,BF130005,protected_open_well,,
138573856,Water system 199 – Borehole with hand pump,Borehole with hand pump serving the community,BF130001,borehole_hand_pump,,
138573857,Water system 200 – Solar-powered water system,Solar-powered water system with piped distribution,BF130002,solar_powered_water_system,,
138573858,Water system 201 – Motorized piped network,Motorized piped network with multiple tap stands,BF130004,motorized_piped_network,,
138573859,Water system 202 – SWAT system,Surface water abstraction and treatment system,BF130003,swat_system,,
138573860,Water system 203 – Spring protection,Protected spring with gravity-fed distribution,BF130002,spring_protection,,
138573861,Water system 204 – Water trucking,Water trucking operation,BF130005,water_trucking,,
138573862,Water system 205 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130005,temporary_pumping_system,,
138573863,Water system 206 – Point-of-use water treatment,Point-of-use water treatment programme,BF130004,point_of_use_water_treatment,,
138573864,Water system 207 – Protected open well,Protected open well with hand pump,BF130002,protected_open_well,,
138573865,Water system 208 – Borehole with hand pump,Borehole with hand pump serving the community,BF130002,borehole_hand_pump,,
138573866,Water system 209 – Solar-powered water system,Solar-powered water system with piped distribution,BF130001,solar_powered_water_system,,
138573867,Water system 210 – Motorized piped network,Motorized piped network with multiple tap stands,BF130005,motorized_piped_network,,
138573868,Water system 211 – SWAT system,Surface water abstraction and treatment system,BF130001,swat_system,,
138573869,Water system 212 – Spring protection,Protected spring with gravity-fed distribution,BF130002,spring_protection,,
138573870,Water system 213 – Water trucking,Water trucking operation,BF130001,water_trucking,,
138573871,Water system 214 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130002,temporary_pumping_system,,
138573872,Water system 215 – Point-of-use water treatment,Point-of-use water treatment programme,BF130001,point_of_use_water_treatment,,
138573873,Water system 216 – Protected open well,Protected open well with hand pump,BF130002,protected_open_well,,
138573874,Water system 217 – Borehole with hand pump,Borehole with hand pump serving the community,BF130004,borehole_hand_pump,,
138573875,Water system 218 – Solar-powered water system,Solar-powered water system with piped distribution,BF130003,solar_powered_water_system,,
138573876,Water system 219 – Motorized piped network,Motorized piped network with multiple tap stands,BF130003,motorized_piped_network,,
138573877,Water system 220 – SWAT system,Surface water abstraction and treatment system,BF130001,swat_system,,
138573878,Water system 221 – Spring protection,Protected spring with gravity-fed distribution,BF130003,spring_protection,,
138573879,Water system 222 – Water trucking,Water trucking operation,BF130004,water_trucking,,
138573880,Water system 223 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130005,temporary_pumping_system,,
138573881,Water system 224 – Point-of-use water treatment,Point-of-use water treatment programme,BF130005,point_of_use_water_treatment,,
138573882,Water system 225 – Protected open well,Protected open well with hand pump,BF130005,protected_open_well,,
138573883,Water system 226 – Borehole with hand pump,Borehole with hand pump serving the community,BF130003,borehole_hand_pump,,
138573884,Water system 227 – Solar-powered water system,Solar-powered water system with piped distribution,BF130001,solar_powered_water_system,,
138573885,Water system 228 – Motorized piped network,Motorized piped network with multiple tap stands,BF130001,motorized_piped_network,,
138573886,Water system 229 – SWAT system,Surface water abstraction and treatment system,BF130003,swat_system,,
138573887,Water system 230 – Spring protection,Protected spring with gravity-fed distribution,BF130005,spring_protection,,
138573888,Water system 231 – Water trucking,Water trucking operation,BF130004,water_trucking,,
138573889,Water system 232 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130002,temporary_pumping_system,,
138573890,Water system 233 – Point-of-use water treatment,Point-of-use water treatment programme,BF130004,point_of_use_water_treatment,,
138573891,Water system 234 – Protected open well,Protected open well with hand pump,BF130003,protected_open_well,,
138573892,Water system 235 – Borehole with hand pump,Borehole with hand pump serving the community,BF130004,borehole_hand_pump,,
138573893,Water system 236 – Solar-powered water system,Solar-powered water system with piped distribution,BF130004,solar_powered_water_system,,
138573894,Water system 237 – Motorized piped network,Motorized piped network with multiple tap stands,BF130005,motorized_piped_network,,
138573895,Water system 238 – SWAT system,Surface water abstraction and treatment system,BF130005,swat_system,,
138573896,Water system 239 – Spring protection,Protected spring with gravity-fed distribution,BF130001,spring_protection,,
138573897,Water system 240 – Water trucking,Water trucking operation,BF130004,water_trucking,,
138573898,Water system 241 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130002,temporary_pumping_system,,
138573899,Water system 242 – Point-of-use water treatment,Point-of-use water treatment programme,BF130004,point_of_use_water_treatment,,
138573900,Water system 243 – Protected open well,Protected open well with hand pump,BF130004,protected_open_well,,
138573901,Water system 244 – Borehole with hand pump,Borehole with hand pump serving the community,BF130004,borehole_hand_pump,,
138573902,Water system 245 – Solar-powered water system,Solar-powered water system with piped distribution,BF130004,solar_powered_water_system,,
138573903,Water system 246 – Motorized piped network,Motorized piped network with multiple tap stands,BF130002,motorized_piped_network,,
138573904,Water system 247 – SWAT system,Surface water abstraction and treatment system,BF130004,swat_system,,
138573905,Water system 248 – Spring protection,Protected spring with gravity-fed distribution,BF130002,spring_protection,,
138573906,Water system 249 – Water trucking,Water trucking operation,BF130001,water_trucking,,
138573907,Water system 250 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130003,temporary_pumping_system,,
138573908,Water system 251 – Point-of-use water treatment,Point-of-use water treatment programme,BF130002,point_of_use_water_treatment,,
138573909,Water system 252 – Protected open well,Protected open well with hand pump,BF130001,protected_open_well,,
138573910,Water system 253 – Borehole with hand pump,Borehole with hand pump serving the community,BF130004,borehole_hand_pump,,
138573911,Water system 254 – Solar-powered water system,Solar-powered water system with piped distribution,BF130005,solar_powered_water_system,,
138573912,Water system 255 – Motorized piped network,Motorized piped network with multiple tap stands,BF130001,motorized_piped_network,,
138573913,Water system 256 – SWAT system,Surface water abstraction and treatment system,BF130001,swat_system,,
138573914,Water system 257 – Spring protection,Protected spring with gravity-fed distribution,BF130001,spring_protection,,
138573915,Water system 258 – Water trucking,Water trucking operation,BF130001,water_trucking,,
138573916,Water system 259 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130005,temporary_pumping_system,,
138573917,Water system 260 – Point-of-use water treatment,Point-of-use water treatment programme,BF130005,point_of_use_water_treatment,,
138573918,Water system 261 – Protected open well,Protected open well with hand pump,BF130004,protected_open_well,,
138573919,Water system 262 – Borehole with hand pump,Borehole with hand pump serving the community,BF130002,borehole_hand_pump,,
138573920,Water system 263 – Solar-powered water system,Solar-powered water system with piped distribution,BF130002,solar_powered_water_system,,
138573921,Water system 264 – Motorized piped network,Motorized piped network with multiple tap stands,BF130005,motorized_piped_network,,
138573922,Water system 265 – SWAT system,Surface water abstraction and treatment system,BF130001,swat_system,,
138573923,Water system 266 – Spring protection,Protected spring with gravity-fed distribution,BF130004,spring_protection,,
138573924,Water system 267 – Water trucking,Water trucking operation,BF130003,water_trucking,,
138573925,Water system 268 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130002,temporary_pumping_system,,
138573926,Water system 269 – Point-of-use water treatment,Point-of-use water treatment programme,BF130005,point_of_use_water_treatment,,
138573927,Water system 270 – Protected open well,Protected open well with hand pump,BF130004,protected_open_well,,
138573928,Water system 271 – Borehole with hand pump,Borehole with hand pump serving the community,BF130004,borehole_hand_pump,,
138573929,Water system 272 – Solar-powered water system,Solar-powered water system with piped distribution,BF130001,solar_powered_water_system,,
138573930,Water system 273 – Motorized piped network,Motorized piped network with multiple tap stands,BF130001,motorized_piped_network,,
138573931,Water system 274 – SWAT system,Surface water abstraction and treatment system,BF130002,swat_system,,
138573932,Water system 275 – Spring protection,Protected spring with gravity-fed distribution,BF130004,spring_protection,,
138573933,Water system 276 – Water trucking,Water trucking operation,BF130004,water_trucking,,
138573934,Water system 277 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130003,temporary_pumping_system,,
138573935,Water system 278 – Point-of-use water treatment,Point-of-use water treatment programme,BF130001,point_of_use_water_treatment,,
138573936,Water system 279 – Protected open well,Protected open well with hand pump,BF130004,protected_open_well,,
138573937,Water system 280 – Borehole with hand pump,Borehole with hand pump serving the community,BF130005,borehole_hand_pump,,
138573938,Water system 281 – Solar-powered water system,Solar-powered water system with piped distribution,BF130005,solar_powered_water_system,,
138573939,Water system 282 – Motorized piped network,Motorized piped network with multiple tap stands,BF130002,motorized_piped_network,,
138573940,Water system 283 – SWAT system,Surface water abstraction and treatment system,BF130002,swat_system,,
138573941,Water system 284 – Spring protection,Protected spring with gravity-fed distribution,BF130005,spring_protection,,
138573942,Water system 285 – Water trucking,Water trucking operation,BF130004,water_trucking,,
138573943,Water system 286 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130005,temporary_pumping_system,,
138573944,Water system 287 – Point-of-use water treatment,Point-of-use water treatment programme,BF130005,point_of_use_water_treatment,,
138573945,Water system 288 – Protected open well,Protected open well with hand pump,BF130001,protected_open_well,,
138573946,Water system 289 – Borehole with hand pump,Borehole with hand pump serving the community,BF130001,borehole_hand_pump,,
138573947,Water system 290 – Solar-powered water system,Solar-powered water system with piped distribution,BF130004,solar_powered_water_system,,
