name,label,system_id,description,distance_from_tank,sample_type
CCP_138573676_DST,Water system 19 – Distribution tap / outlet,138573676,Distribution point critical control point,medium,tap
CCP_138573677_SRC,Water system 20 – Water source / HP outlet,138573677,Water source critical control point,far,source
CCP_138573677_DST,Water system 20 – Distribution tap / outlet,138573677,Distribution point critical control point,unknown,tap
CCP_138573678_SRC,Water system 21 – Water source / HP outlet,138573678,Water source critical control point,very_close,source
CCP_138573678_DST,Water system 21 – Distribution tap / outlet,138573678,Distribution point critical control point,close,tap
CCP_138573679_SRC,Water system 22 – Water source / HP outlet,138573679,Water source critical control point,medium,source
CCP_138573679_DST,Water system 22 – Distribution tap / outlet,138573679,Distribution point critical control point,far,tap
CCP_138573680_SRC,Water system 23 – Water source / HP outlet,138573680,Water source critical control point,unknown,source
CCP_138573680_DST,Water system 23 – Distribution tap / outlet,138573680,Distribution point critical control point,very_close,tap
CCP_138573681_SRC,Water system 24 – Water source / HP outlet,138573681,Water source critical control point,close,source
CCP_138573681_DST,Water system 24 – Distribution tap / outlet,138573681,Distribution point critical control point,medium,tap
CCP_138573682_SRC,Water system 25 – Water source / HP outlet,138573682,Water source critical control point,far,source
CCP_138573682_DST,Water system 25 – Distribution tap / outlet,138573682,Distribution point critical control point,unknown,tap
CCP_138573683_SRC,Water system 26 – Water source / HP outlet,138573683,Water source critical control point,very_close,source
CCP_138573683_DST,Water system 26 – Distribution tap / outlet,138573683,Distribution point critical control point,close,tap
CCP_138573684_SRC,Water system 27 – Water source / HP outlet,138573684,Water source critical control point,medium,source
CCP_138573684_DST,Water system 27 – Distribution tap / outlet,138573684,Distribution point critical control point,far,tap
CCP_138573685_SRC,Water system 28 – Water source / HP outlet,138573685,Water source critical control point,unknown,source
CCP_138573685_DST,Water system 28 – Distribution tap / outlet,138573685,Distribution point critical control point,very_close,tap
CCP_138573686_SRC,Water system 29 – Water source / HP outlet,138573686,Water source critical control point,close,source
CCP_138573686_DST,Water system 29 – Distribution tap / outlet,138573686,Distribution point critical control point,medium,tap
CCP_138573687_SRC,Water system 30 – Water source / HP outlet,138573687,Water source critical control point,far,source
CCP_138573687_DST,Water system 30 – Distribution tap / outlet,138573687,Distribution point critical control point,unknown,tap
CCP_138573688_SRC,Water system 31 – Water source / HP outlet,138573688,Water source critical control point,very_close,source
CCP_138573688_DST,Water system 31 – Distribution tap / outlet,138573688,Distribution point critical control point,close,tap
CCP_138573689_SRC,Water system 32 – Water source / HP outlet,138573689,Water source critical control point,medium,source
CCP_138573689_DST,Water system 32 – Distribution tap / outlet,138573689,Distribution point critical control point,far,tap
CCP_138573690_SRC,Water system 33 – Water source / HP outlet,138573690,Water source critical control point,unknown,source
CCP_138573690_DST,Water system 33 – Distribution tap / outlet,138573690,Distribution point critical control point,very_close,tap
CCP_138573691_SRC,Water system 34 – Water source / HP outlet,138573691,Water source critical control point,close,source
CCP_138573691_DST,Water system 34 – Distribution tap / outlet,138573691,Distribution point critical control point,medium,tap
CCP_138573692_SRC,Water system 35 – Water source / HP outlet,138573692,Water source critical control point,far,source
CCP_138573692_DST,Water system 35 – Distribution tap / outlet,138573692,Distribution point critical control point,unknown,tap
CCP_138573693_SRC,Water system 36 – Water source / HP outlet,138573693,Water source critical control point,very_close,source
CCP_138573693_DST,Water system 36 – Distribution tap / outlet,138573693,Distribution point critical control point,close,tap
CCP_138573694_SRC,Water system 37 – Water source / HP outlet,138573694,Water source critical control point,medium,source
CCP_138573694_DST,Water system 37 – Distribution tap / outlet,138573694,Distribution point critical control point,far,tap
CCP_138573695_SRC,Water system 38 – Water source / HP outlet,138573695,Water source critical control point,unknown,source
CCP_138573695_DST,Water system 38 – Distribution tap / outlet,138573695,Distribution point critical control point,very_close,tap
CCP_138573696_SRC,Water system 39 – Water source / HP outlet,138573696,Water source critical control point,close,source
CCP_138573696_DST,Water system 39 – Distribution tap / outlet,138573696,Distribution point critical control point,medium,tap
CCP_138573697_SRC,Water system 40 – Water source / HP outlet,138573697,Water source critical control point,far,source
CCP_138573697_DST,Water system 40 – Distribution tap / outlet,138573697,Distribution point critical control point,unknown,tap
CCP_138573698_SRC,Water system 41 – Water source / HP outlet,138573698,Water source critical control point,very_close,source
CCP_138573698_DST,Water system 41 – Distribution tap / outlet,138573698,Distribution point critical control point,close,tap
CCP_138573699_SRC,Water system 42 – Water source / HP outlet,138573699,Water source critical control point,medium,source
CCP_138573699_DST,Water system 42 – Distribution tap / outlet,138573699,Distribution point critical control point,far,tap
CCP_138573700_SRC,Water system 43 – Water source / HP outlet,138573700,Water source critical control point,unknown,source
CCP_138573700_DST,Water system 43 – Distribution tap / outlet,138573700,Distribution point critical control point,very_close,tap
CCP_138573701_SRC,Water system 44 – Water source / HP outlet,138573701,Water source critical control point,close,source
CCP_138573701_DST,Water system 44 – Distribution tap / outlet,138573701,Distribution point critical control point,medium,tap
CCP_138573702_SRC,Water system 45 – Water source / HP outlet,138573702,Water source critical control point,far,source
CCP_138573702_DST,Water system 45 – Distribution tap / outlet,138573702,Distribution point critical control point,unknown,tap
CCP_138573703_SRC,Water system 46 – Water source / HP outlet,138573703,Water source critical control point,very_close,source
CCP_138573703_DST,Water system 46 – Distribution tap / outlet,138573703,Distribution point critical control point,close,tap
CCP_138573704_SRC,Water system 47 – Water source / HP outlet,138573704,Water source critical control point,medium,source
CCP_138573704_DST,Water system 47 – Distribution tap / outlet,138573704,Distribution point critical control point,far,tap
CCP_138573705_SRC,Water system 48 – Water source / HP outlet,138573705,Water source critical control point,unknown,source
CCP_138573705_DST,Water system 48 – Distribution tap / outlet,138573705,Distribution point critical control point,very_close,tap
CCP_138573706_SRC,Water system 49 – Water source / HP outlet,138573706,Water source critical control point,close,source
CCP_138573706_DST,Water system 49 – Distribution tap / outlet,138573706,Distribution point critical control point,medium,tap
CCP_138573707_SRC,Water system 50 – Water source / HP outlet,138573707,Water source critical control point,far,source
CCP_138573707_DST,Water system 50 – Distribution tap / outlet,138573707,Distribution point critical control point,unknown,tap
CCP_138573708_SRC,Water system 51 – Water source / HP outlet,138573708,Water source critical control point,very_close,source
CCP_138573708_DST,Water system 51 – Distribution tap / outlet,138573708,Distribution point critical control point,close,tap
CCP_138573709_SRC,Water system 52 – Water source / HP outlet,138573709,Water source critical control point,medium,source
CCP_138573709_DST,Water system 52 – Distribution tap / outlet,138573709,Distribution point critical control point,far,tap
CCP_138573710_SRC,Water system 53 – Water source / HP outlet,138573710,Water source critical control point,unknown,source
CCP_138573710_DST,Water system 53 – Distribution tap / outlet,138573710,Distribution point critical control point,very_close,tap
CCP_138573711_SRC,Water system 54 – Water source / HP outlet,138573711,Water source critical control point,close,source
CCP_138573711_DST,Water system 54 – Distribution tap / outlet,138573711,Distribution point critical control point,medium,tap
CCP_138573712_SRC,Water system 55 – Water source / HP outlet,138573712,Water source critical control point,far,source
CCP_138573712_DST,Water system 55 – Distribution tap / outlet,138573712,Distribution point critical control point,unknown,tap
CCP_138573713_SRC,Water system 56 – Water source / HP outlet,138573713,Water source critical control point,very_close,source
CCP_138573713_DST,Water system 56 – Distribution tap / outlet,138573713,Distribution point critical control point,close,tap
CCP_138573714_SRC,Water system 57 – Water source / HP outlet,138573714,Water source critical control point,medium,source
CCP_138573714_DST,Water system 57 – Distribution tap / outlet,138573714,Distribution point critical control point,far,tap
CCP_138573715_SRC,Water system 58 – Water source / HP outlet,138573715,Water source critical control point,unknown,source
CCP_138573715_DST,Water system 58 – Distribution tap / outlet,138573715,Distribution point critical control point,very_close,tap
CCP_138573716_SRC,Water system 59 – Water source / HP outlet,138573716,Water source critical control point,close,source
CCP_138573716_DST,Water system 59 – Distribution tap / outlet,138573716,Distribution point critical control point,medium,tap
CCP_138573717_SRC,Water system 60 – Water source / HP outlet,138573717,Water source critical control point,far,source
CCP_138573717_DST,Water system 60 – Distribution tap / outlet,138573717,Distribution point critical control point,unknown,tap
CCP_138573718_SRC,Water system 61 – Water source / HP outlet,138573718,Water source critical control point,very_close,source
CCP_138573718_DST,Water system 61 – Distribution tap / outlet,138573718,Distribution point critical control point,close,tap
CCP_138573719_SRC,Water system 62 – Water source / HP outlet,138573719,Water source critical control point,medium,source
CCP_138573719_DST,Water system 62 – Distribution tap / outlet,138573719,Distribution point critical control point,far,tap
CCP_138573720_SRC,Water system 63 – Water source / HP outlet,138573720,Water source critical control point,unknown,source
CCP_138573720_DST,Water system 63 – Distribution tap / outlet,138573720,Distribution point critical control point,very_close,tap
CCP_138573721_SRC,Water system 64 – Water source / HP outlet,138573721,Water source critical control point,close,source
CCP_138573721_DST,Water system 64 – Distribution tap / outlet,138573721,Distribution point critical control point,medium,tap
CCP_138573722_SRC,Water system 65 – Water source / HP outlet,138573722,Water source critical control point,far,source
CCP_138573722_DST,Water system 65 – Distribution tap / outlet,138573722,Distribution point critical control point,unknown,tap
CCP_138573723_SRC,Water system 66 – Water source / HP outlet,138573723,Water source critical control point,very_close,source
CCP_138573723_DST,Water system 66 – Distribution tap / outlet,138573723,Distribution point critical control point,close,tap
CCP_138573724_SRC,Water system 67 – Water source / HP outlet,138573724,Water source critical control point,medium,source
CCP_138573724_DST,Water system 67 – Distribution tap / outlet,138573724,Distribution point critical control point,far,tap
CCP_138573725_SRC,Water system 68 – Water source / HP outlet,138573725,Water source critical control point,unknown,source
CCP_138573725_DST,Water system 68 – Distribution tap / outlet,138573725,Distribution point critical control point,very_close,tap
CCP_138573726_SRC,Water system 69 – Water source / HP outlet,138573726,Water source critical control point,close,source
CCP_138573726_DST,Water system 69 – Distribution tap / outlet,138573726,Distribution point critical control point,medium,tap
CCP_138573727_SRC,Water system 70 – Water source / HP outlet,138573727,Water source critical control point,far,source
CCP_138573727_DST,Water system 70 – Distribution tap / outlet,138573727,Distribution point critical control point,unknown,tap
CCP_138573728_SRC,Water system 71 – Water source / HP outlet,138573728,Water source critical control point,very_close,source
CCP_138573728_DST,Water system 71 – Distribution tap / outlet,138573728,Distribution point critical control point,close,tap
CCP_138573729_SRC,Water system 72 – Water source / HP outlet,138573729,Water source critical control point,medium,source
CCP_138573729_DST,Water system 72 – Distribution tap / outlet,138573729,Distribution point critical control point,far,tap
CCP_138573730_SRC,Water system 73 – Water source / HP outlet,138573730,Water source critical control point,unknown,source
CCP_138573730_DST,Water system 73 – Distribution tap / outlet,138573730,Distribution point critical control point,very_close,tap
CCP_138573731_SRC,Water system 74 – Water source / HP outlet,138573731,Water source critical control point,close,source
CCP_138573731_DST,Water system 74 – Distribution tap / outlet,138573731,Distribution point critical control point,medium,tap
CCP_138573732_SRC,Water system 75 – Water source / HP outlet,138573732,Water source critical control point,far,source
CCP_138573732_DST,Water system 75 – Distribution tap / outlet,138573732,Distribution point critical control point,unknown,tap
CCP_138573733_SRC,Water system 76 – Water source / HP outlet,138573733,Water source critical control point,very_close,source
CCP_138573733_DST,Water system 76 – Distribution tap / outlet,138573733,Distribution point critical control point,close,tap
CCP_138573734_SRC,Water system 77 – Water source / HP outlet,138573734,Water source critical control point,medium,source
CCP_138573734_DST,Water system 77 – Distribution tap / outlet,138573734,Distribution point critical control point,far,tap
CCP_138573735_SRC,Water system 78 – Water source / HP outlet,138573735,Water source critical control point,unknown,source
CCP_138573735_DST,Water system 78 – Distribution tap / outlet,138573735,Distribution point critical control point,very_close,tap
CCP_138573736_SRC,Water system 79 – Water source / HP outlet,138573736,Water source critical control point,close,source
CCP_138573736_DST,Water system 79 – Distribution tap / outlet,138573736,Distribution point critical control point,medium,tap
CCP_138573737_SRC,Water system 80 – Water source / HP outlet,138573737,Water source critical control point,far,source
CCP_138573737_DST,Water system 80 – Distribution tap / outlet,138573737,Distribution point critical control point,unknown,tap
CCP_138573738_SRC,Water system 81 – Water source / HP outlet,138573738,Water source critical control point,very_close,source
CCP_138573738_DST,Water system 81 – Distribution tap / outlet,138573738,Distribution point critical control point,close,tap
CCP_138573739_SRC,Water system 82 – Water source / HP outlet,138573739,Water source critical control point,medium,source
CCP_138573739_DST,Water system 82 – Distribution tap / outlet,138573739,Distribution point critical control point,far,tap
CCP_138573740_SRC,Water system 83 – Water source / HP outlet,138573740,Water source critical control point,unknown,source
CCP_138573740_DST,Water system 83 – Distribution tap / outlet,138573740,Distribution point critical control point,very_close,tap
CCP_138573741_SRC,Water system 84 – Water source / HP outlet,138573741,Water source critical control point,close,source
CCP_138573741_DST,Water system 84 – Distribution tap / outlet,138573741,Distribution point critical control point,medium,tap
CCP_138573742_SRC,Water system 85 – Water source / HP outlet,138573742,Water source critical control point,far,source
CCP_138573742_DST,Water system 85 – Distribution tap / outlet,138573742,Distribution point critical control point,unknown,tap
CCP_138573743_SRC,Water system 86 – Water source / HP outlet,138573743,Water source critical control point,very_close,source
CCP_138573743_DST,Water system 86 – Distribution tap / outlet,138573743,Distribution point critical control point,close,tap
CCP_138573744_SRC,Water system 87 – Water source / HP outlet,138573744,Water source critical control point,medium,source
CCP_138573744_DST,Water system 87 – Distribution tap / outlet,138573744,Distribution point critical control point,far,tap
CCP_138573745_SRC,Water system 88 – Water source / HP outlet,138573745,Water source critical control point,unknown,source
CCP_138573745_DST,Water system 88 – Distribution tap / outlet,138573745,Distribution point critical control point,very_close,tap
CCP_138573746_SRC,Water system 89 – Water source / HP outlet,138573746,Water source critical control point,close,source
CCP_138573746_DST,Water system 89 – Distribution tap / outlet,138573746,Distribution point critical control point,medium,tap
CCP_138573747_SRC,Water system 90 – Water source / HP outlet,138573747,Water source critical control point,far,source
CCP_138573747_DST,Water system 90 – Distribution tap / outlet,138573747,Distribution point critical control point,unknown,tap
CCP_138573748_SRC,Water system 91 – Water source / HP outlet,138573748,Water source critical control point,very_close,source
CCP_138573748_DST,Water system 91 – Distribution tap / outlet,138573748,Distribution point critical control point,close,tap
CCP_138573749_SRC,Water system 92 – Water source / HP outlet,138573749,Water source critical control point,medium,source
CCP_138573749_DST,Water system 92 – Distribution tap / outlet,138573749,Distribution point critical control point,far,tap
CCP_138573750_SRC,Water system 93 – Water source / HP outlet,138573750,Water source critical control point,unknown,source
CCP_138573750_DST,Water system 93 – Distribution tap / outlet,138573750,Distribution point critical control point,very_close,tap
CCP_138573751_SRC,Water system 94 – Water source / HP outlet,138573751,Water source critical control point,close,source
CCP_138573751_DST,Water system 94 – Distribution tap / outlet,138573751,Distribution point critical control point,medium,tap
CCP_138573752_SRC,Water system 95 – Water source / HP outlet,138573752,Water source critical control point,far,source
CCP_138573752_DST,Water system 95 – Distribution tap / outlet,138573752,Distribution point critical control point,unknown,tap
CCP_138573753_SRC,Water system 96 – Water source / HP outlet,138573753,Water source critical control point,very_close,source
CCP_138573753_DST,Water system 96 – Distribution tap / outlet,138573753,Distribution point critical control point,close,tap
CCP_138573754_SRC,Water system 97 – Water source / HP outlet,138573754,Water source critical control point,medium,source
CCP_138573754_DST,Water system 97 – Distribution tap / outlet,138573754,Distribution point critical control point,far,tap
CCP_138573755_SRC,Water system 98 – Water source / HP outlet,138573755,Water source critical control point,unknown,source
CCP_138573755_DST,Water system 98 – Distribution tap / outlet,138573755,Distribution point critical control point,very_close,tap
CCP_138573756_SRC,Water system 99 – Water source / HP outlet,138573756,Water source critical control point,close,source
CCP_138573756_DST,Water system 99 – Distribution tap / outlet,138573756,Distribution point critical control point,medium,tap
CCP_138573757_SRC,Water system 100 – Water source / HP outlet,138573757,Water source critical control point,far,source
CCP_138573757_DST,Water system 100 – Distribution tap / outlet,138573757,Distribution point critical control point,unknown,tap
CCP_138573758_SRC,Water system 101 – Water source / HP outlet,138573758,Water source critical control point,very_close,source
CCP_138573758_DST,Water system 101 – Distribution tap / outlet,138573758,Distribution point critical control point,close,tap
CCP_138573759_SRC,Water system 102 – Water source / HP outlet,138573759,Water source critical control point,medium,source
CCP_138573759_DST,Water system 102 – Distribution tap / outlet,138573759,Distribution point critical control point,far,tap
CCP_138573760_SRC,Water system 103 – Water source / HP outlet,138573760,Water source critical control point,unknown,source
CCP_138573760_DST,Water system 103 – Distribution tap / outlet,138573760,Distribution point critical control point,very_close,tap
CCP_138573761_SRC,Water system 104 – Water source / HP outlet,138573761,Water source critical control point,close,source
CCP_138573761_DST,Water system 104 – Distribution tap / outlet,138573761,Distribution point critical control point,medium,tap
CCP_138573762_SRC,Water system 105 – Water source / HP outlet,138573762,Water source critical control point,far,source
CCP_138573762_DST,Water system 105 – Distribution tap / outlet,138573762,Distribution point critical control point,unknown,tap
CCP_138573763_SRC,Water system 106 – Water source / HP outlet,138573763,Water source critical control point,very_close,source
CCP_138573763_DST,Water system 106 – Distribution tap / outlet,138573763,Distribution point critical control point,close,tap
CCP_138573764_SRC,Water system 107 – Water source / HP outlet,138573764,Water source critical control point,medium,source
CCP_138573764_DST,Water system 107 – Distribution tap / outlet,138573764,Distribution point critical control point,far,tap
CCP_138573765_SRC,Water system 108 – Water source / HP outlet,138573765,Water source critical control point,unknown,source
CCP_138573765_DST,Water system 108 – Distribution tap / outlet,138573765,Distribution point critical control point,very_close,tap
CCP_138573766_SRC,Water system 109 – Water source / HP outlet,138573766,Water source critical control point,close,source
CCP_138573766_DST,Water system 109 – Distribution tap / outlet,138573766,Distribution point critical control point,medium,tap
CCP_138573767_SRC,Water system 110 – Water source / HP outlet,138573767,Water source critical control point,far,source
CCP_138573767_DST,Water system 110 – Distribution tap / outlet,138573767,Distribution point critical control point,unknown,tap
CCP_138573768_SRC,Water system 111 – Water source / HP outlet,138573768,Water source critical control point,very_close,source
CCP_138573768_DST,Water system 111 – Distribution tap / outlet,138573768,Distribution point critical control point,close,tap
CCP_138573769_SRC,Water system 112 – Water source / HP outlet,138573769,Water source critical control point,medium,source
CCP_138573769_DST,Water system 112 – Distribution tap / outlet,138573769,Distribution point critical control point,far,tap
CCP_138573770_SRC,Water system 113 – Water source / HP outlet,138573770,Water source critical control point,unknown,source
CCP_138573770_DST,Water system 113 – Distribution tap / outlet,138573770,Distribution point critical control point,very_close,tap
CCP_138573771_SRC,Water system 114 – Water source / HP outlet,138573771,Water source critical control point,close,source
CCP_138573771_DST,Water system 114 – Distribution tap / outlet,138573771,Distribution point critical control point,medium,tap
CCP_138573772_SRC,Water system 115 – Water source / HP outlet,138573772,Water source critical control point,far,source
CCP_138573772_DST,Water system 115 – Distribution tap / outlet,138573772,Distribution point critical control point,unknown,tap
CCP_138573773_SRC,Water system 116 – Water source / HP outlet,138573773,Water source critical control point,very_close,source
CCP_138573773_DST,Water system 116 – Distribution tap / outlet,138573773,Distribution point critical control point,close,tap
CCP_138573774_SRC,Water system 117 – Water source / HP outlet,138573774,Water source critical control point,medium,source
CCP_138573774_DST,Water system 117 – Distribution tap / outlet,138573774,Distribution point critical control point,far,tap
CCP_138573775_SRC,Water system 118 – Water source / HP outlet,138573775,Water source critical control point,unknown,source
CCP_138573775_DST,Water system 118 – Distribution tap / outlet,138573775,Distribution point critical control point,very_close,tap
CCP_138573776_SRC,Water system 119 – Water source / HP outlet,138573776,Water source critical control point,close,source
CCP_138573776_DST,Water system 119 – Distribution tap / outlet,138573776,Distribution point critical control point,medium,tap
CCP_138573777_SRC,Water system 120 – Water source / HP outlet,138573777,Water source critical control point,far,source
CCP_138573777_DST,Water system 120 – Distribution tap / outlet,138573777,Distribution point critical control point,unknown,tap
CCP_138573778_SRC,Water system 121 – Water source / HP outlet,138573778,Water source critical control point,very_close,source
CCP_138573778_DST,Water system 121 – Distribution tap / outlet,138573778,Distribution point critical control point,close,tap
CCP_138573779_SRC,Water system 122 – Water source / HP outlet,138573779,Water source critical control point,medium,source
CCP_138573779_DST,Water system 122 – Distribution tap / outlet,138573779,Distribution point critical control point,far,tap
CCP_138573780_SRC,Water system 123 – Water source / HP outlet,138573780,Water source critical control point,unknown,source
CCP_138573780_DST,Water system 123 – Distribution tap / outlet,138573780,Distribution point critical control point,very_close,tap
CCP_138573781_SRC,Water system 124 – Water source / HP outlet,138573781,Water source critical control point,close,source
CCP_138573781_DST,Water system 124 – Distribution tap / outlet,138573781,Distribution point critical control point,medium,tap
CCP_138573782_SRC,Water system 125 – Water source / HP outlet,138573782,Water source critical control point,far,source
CCP_138573782_DST,Water system 125 – Distribution tap / outlet,138573782,Distribution point critical control point,unknown,tap
CCP_138573783_SRC,Water system 126 – Water source / HP outlet,138573783,Water source critical control point,very_close,source
CCP_138573783_DST,Water system 126 – Distribution tap / outlet,138573783,Distribution point critical control point,close,tap
CCP_138573784_SRC,Water system 127 – Water source / HP outlet,138573784,Water source critical control point,medium,source
CCP_138573784_DST,Water system 127 – Distribution tap / outlet,138573784,Distribution point critical control point,far,tap
CCP_138573785_SRC,Water system 128 – Water source / HP outlet,138573785,Water source critical control point,unknown,source
CCP_138573785_DST,Water system 128 – Distribution tap / outlet,138573785,Distribution point critical control point,very_close,tap
CCP_138573786_SRC,Water system 129 – Water source / HP outlet,138573786,Water source critical control point,close,source
CCP_138573786_DST,Water system 129 – Distribution tap / outlet,138573786,Distribution point critical control point,medium,tap
CCP_138573787_SRC,Water system 130 – Water source / HP outlet,138573787,Water source critical control point,far,source
CCP_138573787_DST,Water system 130 – Distribution tap / outlet,138573787,Distribution point critical control point,unknown,tap
CCP_138573788_SRC,Water system 131 – Water source / HP outlet,138573788,Water source critical control point,very_close,source
CCP_138573788_DST,Water system 131 – Distribution tap / outlet,138573788,Distribution point critical control point,close,tap
CCP_138573789_SRC,Water system 132 – Water source / HP outlet,138573789,Water source critical control point,medium,source
CCP_138573789_DST,Water system 132 – Distribution tap / outlet,138573789,Distribution point critical control point,far,tap
CCP_138573790_SRC,Water system 133 – Water source / HP outlet,138573790,Water source critical control point,unknown,source
CCP_138573790_DST,Water system 133 – Distribution tap / outlet,138573790,Distribution point critical control point,very_close,tap
CCP_138573791_SRC,Water system 134 – Water source / HP outlet,138573791,Water source critical control point,close,source
CCP_138573791_DST,Water system 134 – Distribution tap / outlet,138573791,Distribution point critical control point,medium,tap
CCP_138573792_SRC,Water system 135 – Water source / HP outlet,138573792,Water source critical control point,far,source
CCP_138573792_DST,Water system 135 – Distribution tap / outlet,138573792,Distribution point critical control point,unknown,tap
CCP_138573793_SRC,Water system 136 – Water source / HP outlet,138573793,Water source critical control point,very_close,source
CCP_138573793_DST,Water system 136 – Distribution tap / outlet,138573793,Distribution point critical control point,close,tap
CCP_138573794_SRC,Water system 137 – Water source / HP outlet,138573794,Water source critical control point,medium,source
CCP_138573794_DST,Water system 137 – Distribution tap / outlet,138573794,Distribution point critical control point,far,tap
CCP_138573795_SRC,Water system 138 – Water source / HP outlet,138573795,Water source critical control point,unknown,source
CCP_138573795_DST,Water system 138 – Distribution tap / outlet,138573795,Distribution point critical control point,very_close,tap
CCP_138573796_SRC,Water system 139 – Water source / HP outlet,138573796,Water source critical control point,close,source
CCP_138573796_DST,Water system 139 – Distribution tap / outlet,138573796,Distribution point critical control point,medium,tap
CCP_138573797_SRC,Water system 140 – Water source / HP outlet,138573797,Water source critical control point,far,source
CCP_138573797_DST,Water system 140 – Distribution tap / outlet,138573797,Distribution point critical control point,unknown,tap
CCP_138573798_SRC,Water system 141 – Water source / HP outlet,138573798,Water source critical control point,very_close,source
CCP_138573798_DST,Water system 141 – Distribution tap / outlet,138573798,Distribution point critical control point,close,tap
CCP_138573799_SRC,Water system 142 – Water source / HP outlet,138573799,Water source critical control point,medium,source
CCP_138573799_DST,Water system 142 – Distribution tap / outlet,138573799,Distribution point critical control point,far,tap
CCP_138573800_SRC,Water system 143 – Water source / HP outlet,138573800,Water source critical control point,unknown,source
CCP_138573800_DST,Water system 143 – Distribution tap / outlet,138573800,Distribution point critical control point,very_close,tap
CCP_138573801_SRC,Water system 144 – Water source / HP outlet,138573801,Water source critical control point,close,source
CCP_138573801_DST,Water system 144 – Distribution tap / outlet,138573801,Distribution point critical control point,medium,tap
CCP_138573802_SRC,Water system 145 – Water source / HP outlet,138573802,Water source critical control point,far,source
CCP_138573802_DST,Water system 145 – Distribution tap / outlet,138573802,Distribution point critical control point,unknown,tap
CCP_138573803_SRC,Water system 146 – Water source / HP outlet,138573803,Water source critical control point,very_close,source
CCP_138573803_DST,Water system 146 – Distribution tap / outlet,138573803,Distribution point critical control point,close,tap
CCP_138573804_SRC,Water system 147 – Water source / HP outlet,138573804,Water source critical control point,medium,source
